"Title","Year","DOI","Link","ISSN","ISBN","CODEN"
"6G IoV Networks Driven by RF Digital Twin Modeling","2024","10.1109/TITS.2023.3292533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167795331&doi=10.1109%2fTITS.2023.3292533&partnerID=40&md5=10c42fb2353e09761fe51f34bbf8edb0","15249050","",""
"Quality of AI Service Assurance in 6G Native Artificial Intelligence Networks","2024","10.1109/SDPC62810.2024.10707758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208139816&doi=10.1109%2fSDPC62810.2024.10707758&partnerID=40&md5=561249d446c97f48b286e5c2f727ad40","","979-835038885-5",""
"Optimal Resource Allocation for AGIN 6G: A Learning-Based Three-Sided Matching Approach","2024","10.1109/TNSE.2023.3325356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174842133&doi=10.1109%2fTNSE.2023.3325356&partnerID=40&md5=912c660395fa3c40b08f45e3b20ea34f","23274697","",""
"Advanced channel coding schemes for B5G/6G networks: State-of-the-art analysis, research challenges and future directions","2024","10.1002/dac.5855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194755203&doi=10.1002%2fdac.5855&partnerID=40&md5=2764817aa11671bea50bdae87e4a3e3a","10745351","","IJCYE"
"Intent-based AI system in packet-optical networks towards 6G [Invited]","2024","10.1364/JOCN.514890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190094875&doi=10.1364%2fJOCN.514890&partnerID=40&md5=b8bc8fabbc0b611171ba8c28c1ffadcd","19430620","",""
"Towards 6G Technology: Insights into Resource Management for Cloud RAN Deployment","2024","10.3390/iot5020020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197104602&doi=10.3390%2fiot5020020&partnerID=40&md5=006a2501c5833bd696589111ef0fbe7b","2624831X","",""
"Performance Evaluation of ML-Based Classifiers for IRS-Aided NOMA-Based 6G Cognitive Radio Networks","2024","10.1007/s11277-024-11726-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213322250&doi=10.1007%2fs11277-024-11726-8&partnerID=40&md5=7d0d271921ba341a42e89ee631417b90","09296212","","WPCOF"
"Deep Learning Based Advanced Estimation of Wireless Channels State Information for 6G Communication","2024","10.1109/RAEEUCCI61380.2024.10547841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196740922&doi=10.1109%2fRAEEUCCI61380.2024.10547841&partnerID=40&md5=68cb53f3ce0329977d278242f0663c2b","","979-835035453-9",""
"DRL-based customised resource allocation for sub-slices in 6G network slicing","2024","10.1002/ett.5016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197303402&doi=10.1002%2fett.5016&partnerID=40&md5=e90fd80b2d19ec1474838a104b090dcf","21613915","",""
"Multiagent deep reinforcement learning based Energy efficient resource management scheme for RIS assisted D2D users in 6G-aided smart cities environment","2025","10.1016/j.aej.2024.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214303826&doi=10.1016%2fj.aej.2024.12.004&partnerID=40&md5=b6727a5fb9cff54eb60cbc0aa5d9f496","11100168","",""
"Explainable and Robust Artificial Intelligence for Trustworthy Resource Management in 6G Networks","2024","10.1109/MCOM.001.2300172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176335424&doi=10.1109%2fMCOM.001.2300172&partnerID=40&md5=29973ff8740959fee16f804eacf1dc42","01636804","","ICOMD"
"Blockchain-Based Secure 5G/6G Communication for Internet of Things Devices in Consumer Electronic Systems","2024","10.1109/TCE.2024.3454299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205144737&doi=10.1109%2fTCE.2024.3454299&partnerID=40&md5=3bb805fb4081e0ba817650a6a7fede50","00983063","","ITCED"
"Joint Optimization Algorithm of Training Delay and Energy Efficiency for Wireless Large-Scale Distributed Machine Learning Combined With Blockchain for 6G Networks","2024","10.1109/JIOT.2024.3418463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197078588&doi=10.1109%2fJIOT.2024.3418463&partnerID=40&md5=31a636d38317816bb1a7f0cf044bb606","23274662","",""
"How to Allocate Resources in Cloud-Native Networks Towards 6G","2024","10.1109/MNET002.2300017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159848247&doi=10.1109%2fMNET002.2300017&partnerID=40&md5=e0c3ae5732936065d370f2380dcb43aa","08908044","","IENEE"
"A detailed reinforcement learning framework for resource allocation in non-orthogonal multiple access enabled-B5G/6G networks","2024","10.1049/ntw2.12131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201004733&doi=10.1049%2fntw2.12131&partnerID=40&md5=278abcc00bb7f33687535110c4e7e69d","20474954","",""
"AI-Powered Optimization: Revolutionizing 6G Networks for Efficiency and Performance","2024","10.1109/ICSTSN61422.2024.10670928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205294395&doi=10.1109%2fICSTSN61422.2024.10670928&partnerID=40&md5=f6a62e1e87e11e79a25c829d83844b90","","979-835039156-5",""
"Dynamic Activation Digital Predistortion of RF Power Amplifiers for 6G Dynamic Spectrum Aggregation Applications","2024","10.1109/TMTT.2023.3318732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174844840&doi=10.1109%2fTMTT.2023.3318732&partnerID=40&md5=1b919dbb4504b87536824ea12280ae57","00189480","","IETMA"
"Multi-agent Cross-domain Traffic Engineering for Diverse Service Requirements in 6G Networks","2024","10.1109/ICCC62479.2024.10681865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206454821&doi=10.1109%2fICCC62479.2024.10681865&partnerID=40&md5=35709ad72f5e84d6d65979ba81837449","","979-835037841-2",""
"Resource allocation scheduling scheme for task migration and offloading in 6G Cybertwin internet of vehicles based on DRL","2024","10.1049/cmu2.12826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203167847&doi=10.1049%2fcmu2.12826&partnerID=40&md5=51331a28e7a833342f9c2fbeab7d0dbb","17518628","",""
"Task Offloading Optimization in Digital Twin Assisted MEC-Enabled Air-Ground IIoT 6G Networks","2024","10.1109/TVT.2024.3420876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197510892&doi=10.1109%2fTVT.2024.3420876&partnerID=40&md5=deec145919d89f1040ec8bdac2950ade","00189545","","ITVTA"
"Machine learning-assisted interference management in the 6G UAV networks with soft frequency reuse","2024","10.1201/9781003303114-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192314643&doi=10.1201%2f9781003303114-9&partnerID=40&md5=a04fa080e4480ca274d91b68835359d0","","978-100330311-4; 978-103230021-4",""
"Smart radio access selection and slice allocation for differentiated traffic management over 6G heterogeneous networks","2024","10.1145/3625468.3652915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192009938&doi=10.1145%2f3625468.3652915&partnerID=40&md5=295deaefdd95a4e7da3114c14c423f10","","979-840070412-3",""
"RL-Based Adaptive UAV Swarm Formation and Clustering for Secure 6G Wireless Communications in Dynamic Dense Environments","2024","10.1109/ACCESS.2024.3455250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203558481&doi=10.1109%2fACCESS.2024.3455250&partnerID=40&md5=f311e6cc5384cc280283e8536b62eee6","21693536","",""
"AIaaS for ORAN-based 6G Networks: Multi-time Scale Slice Resource Management with DRL","2024","10.1109/ICC51166.2024.10622601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202856993&doi=10.1109%2fICC51166.2024.10622601&partnerID=40&md5=9b5a6adb96f6091b6ccefdbd4f839bf6","15503607","978-172819054-9",""
"Intent-Driven Closed-Loop Control and Management Framework for 6G Open RAN","2024","10.1109/JIOT.2023.3312795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171592629&doi=10.1109%2fJIOT.2023.3312795&partnerID=40&md5=6e6bc2e476892da6bf4f0301929a3aa9","23274662","",""
"Channel Estimation for Reconfigurable Intelligent Surface-aided 6G NOMA Systems using CNN-based Quantum LSTM Model","2024","10.1109/VTC2024-Fall63153.2024.10757552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213037034&doi=10.1109%2fVTC2024-Fall63153.2024.10757552&partnerID=40&md5=9fc29937819543c39a2679ca0da7ffe1","15502252","979-833151778-6","IVTCD"
"An Innovative Way of Resource Allocation Methods in 6G Networks in Cybertown Healthcare Systems with Fuzzy Neuro Models","2024","10.1109/ISTEMS60181.2024.10560141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197911177&doi=10.1109%2fISTEMS60181.2024.10560141&partnerID=40&md5=ec4fa682a143274c9e693aebc10372c5","","979-835038424-6",""
"UAV based device to device communication for 5G/6G networks using optimized deep learning models","2024","10.1007/s11276-023-03578-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177775223&doi=10.1007%2fs11276-023-03578-0&partnerID=40&md5=ec67681bafec9e35e43719ccae8899ad","10220038","","WINEF"
"Multiagent Deep Deterministic Policy Gradient-Based Computation Offloading and Resource Allocation for ISAC-Aided 6G V2X Networks","2024","10.1109/JIOT.2024.3432728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199513630&doi=10.1109%2fJIOT.2024.3432728&partnerID=40&md5=2fae06adc4749179622ed4195cee9ccb","23274662","",""
"Emerging Technologies for 6G Non-Terrestrial-Networks: From Academia to Industrial Applications","2024","10.1109/OJCOMS.2024.3418574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197021995&doi=10.1109%2fOJCOMS.2024.3418574&partnerID=40&md5=06d626d12e7163fa04ae8768356f1c73","2644125X","",""
"DRL-Based Resource Allocation and Trajectory Planning for NOMA-Enabled Multi-UAV Collaborative Caching 6G Network","2024","10.1109/TVT.2024.3357086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183993740&doi=10.1109%2fTVT.2024.3357086&partnerID=40&md5=6c251da7aaa8ef9556f28f7b953bac95","00189545","","ITVTA"
"Edge Computation Offloading With Content Caching in 6G-Enabled IoV","2024","10.1109/TITS.2023.3239599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148445603&doi=10.1109%2fTITS.2023.3239599&partnerID=40&md5=8cb11521086cf83e2d6c3decf427203b","15249050","",""
"AI-Driven Multi-Factor Authentication and Dynamic Trust Management for Securing Massive Machine Type Communication in 6G Networks","2024","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173751890&partnerID=40&md5=c846c27f0b91f01a1f5cdb4db833408b","21476799","",""
"Real-Time Bayesian Neural Networks for 6G Cooperative Positioning and Tracking","2024","10.1109/JSAC.2024.3413950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202193372&doi=10.1109%2fJSAC.2024.3413950&partnerID=40&md5=9764fcd569ddcb179094f0b256cdc90d","07338716","","ISACE"
"Algorithm for Resource Allocation and Computing Offloading in 6G Networks: Deep Reinforcement Learning-based","2024","10.1109/ICOM61675.2024.10652281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204301148&doi=10.1109%2fICOM61675.2024.10652281&partnerID=40&md5=49e864effe00709517908515b0b335f8","","979-835034978-8",""
"AI-Enabled Priority and Auction-Based Spectrum Management for 6G","2024","10.1109/WCNC57260.2024.10570588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198857023&doi=10.1109%2fWCNC57260.2024.10570588&partnerID=40&md5=a74728b066fd17186a4ca5b66cbed1bf","15253511","979-835030358-2",""
"Advanced Machine Learning-Powered Tunable Optical Signal Processor for Precise Chromatic Dispersion Compensation in Analog B5G/6G Mobile Fronthaul Networks","2024","10.1117/12.3017029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200236716&doi=10.1117%2f12.3017029&partnerID=40&md5=06cd91c242f2f7b5bdb7ba36e3bfcafa","0277786X","978-151067352-6","PSISD"
"Distributed Intelligence for Dynamic Task Migration in the 6G User Plane using Deep Reinforcement Learning","2024","10.1109/NOMS59830.2024.10575830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198349358&doi=10.1109%2fNOMS59830.2024.10575830&partnerID=40&md5=23daf6676817af3dd5c7b3fa94f337ec","","979-835032793-9",""
"Influence of AI and MAS in Enhancing Energy Efficiency of 6G Communications","2024","10.1109/IC3SE62002.2024.10593501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200669828&doi=10.1109%2fIC3SE62002.2024.10593501&partnerID=40&md5=c59593acace1abda7c86718765f8adec","","979-835036684-6",""
"Network-Aided Intelligent Traffic Steering in 6G O-RAN: A Multi-Layer Optimization Framework","2024","10.1109/JSAC.2023.3336183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179063499&doi=10.1109%2fJSAC.2023.3336183&partnerID=40&md5=03ddce5c7e2ea5f69fa348df724df896","07338716","","ISACE"
"Intelligible Protocol Learning for Resource Allocation in 6G O-RAN Slicing","2024","10.1109/MWC.015.2300552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204314315&doi=10.1109%2fMWC.015.2300552&partnerID=40&md5=56c5d58f81f89287926043add3eb6cba","15361284","","IWCEA"
"AI-Driven Integration of Sensing and Communication in the 6G Era","2024","10.1109/MNET.2023.3326064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176340079&doi=10.1109%2fMNET.2023.3326064&partnerID=40&md5=f7780ba9cd08de136d72621acc6cfa28","08908044","","IENEE"
"Blockchain 6G-Based Wireless Network Security Management with Optimization Using Machine Learning Techniques","2024","10.3390/s24186143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205248033&doi=10.3390%2fs24186143&partnerID=40&md5=1945eeefeb9745b80cea88f050e6b0be","14248220","",""
"ORIENT: A Priority-Aware Energy-Efficient Approach for Latency-Sensitive Applications in 6G","2024","10.1109/ICC51166.2024.10622533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202797864&doi=10.1109%2fICC51166.2024.10622533&partnerID=40&md5=eca22dd006378af3ba3be751940e3ec3","15503607","978-172819054-9",""
"Distributed Intelligence for Automated 6G Network Management Using Reinforcement Learning","2024","10.1109/NOMS59830.2024.10575318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198382658&doi=10.1109%2fNOMS59830.2024.10575318&partnerID=40&md5=95167bf75ed10e99c743ccdcc7139e47","","979-835032793-9",""
"Efficient Dynamic Distributed Resource Slicing in 6G Multi-Access Edge Computing Networks With Online ADMM and Message Passing Graph Neural Networks","2024","10.1109/TMC.2023.3262514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151489034&doi=10.1109%2fTMC.2023.3262514&partnerID=40&md5=d0887c290fad85edd09950a4beff25ee","15361233","",""
"Dynamic Neural Network-Based Resource Management for Mobile Edge Computing in 6G Networks","2024","10.1109/TCCN.2023.3346824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181554394&doi=10.1109%2fTCCN.2023.3346824&partnerID=40&md5=5507039175841c7f86a1c3cb4fff6042","23327731","",""
"Deep Reinforcement Learning Explores EH-RIS for Spectrum-Efficient Drone Communication in 6G","2024","10.1049/2024/9548468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210076772&doi=10.1049%2f2024%2f9548468&partnerID=40&md5=c45e47fe71061013c8f249790484103a","17519675","",""
"Resource Allocation with Graph Neural Networks-Multi Agent Reinforcement Learning for 6G HetNets","2024","10.1016/j.procs.2024.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204305217&doi=10.1016%2fj.procs.2024.08.006&partnerID=40&md5=88960e45363089d95920c505c4056ff0","18770509","",""
"Promoting Deployment of Innovative Use Cases in Market Verticals for the Support of 6G Evolution: The 6G-PATH Context","2024","10.1007/978-3-031-63227-3_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199193345&doi=10.1007%2f978-3-031-63227-3_11&partnerID=40&md5=c80d65128b7ebf70c8777f28bc47aed5","18684238","978-303163226-6",""
"Advanced Deep Learning Models for 6G: Overview, Opportunities, and Challenges","2024","10.1109/ACCESS.2024.3418900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197070055&doi=10.1109%2fACCESS.2024.3418900&partnerID=40&md5=aea121f9548f02276ea379547177771a","21693536","",""
"Intelligent Network Slicing for B5G and 6G: Resource Allocation, Service Provisioning, and Security","2024","10.1109/MWC.021.2200589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196671509&doi=10.1109%2fMWC.021.2200589&partnerID=40&md5=f6641d6fe53dde33942fa2f04416e8db","15361284","","IWCEA"
"What-if Analysis Framework for Digital Twins in 6G Wireless Network Management","2024","10.1109/IWCMC61514.2024.10592526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199976659&doi=10.1109%2fIWCMC61514.2024.10592526&partnerID=40&md5=e8644bc1ac3bb14e0aa6ffc053a69c47","","979-835036126-1",""
"Designing the Network Intelligence Stratum for 6G networks","2024","10.1016/j.comnet.2024.110780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203518802&doi=10.1016%2fj.comnet.2024.110780&partnerID=40&md5=3fb37141633aaacf99570b1bb5c5a434","13891286","","CNETD"
"An Intelligent Scheme for Energy-Efficient Uplink Resource Allocation with QoS Constraints in 6G Networks","2024","10.1109/TNSM.2024.3482549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207348931&doi=10.1109%2fTNSM.2024.3482549&partnerID=40&md5=39710d30e677e388fb1b56dc6fe2a456","19324537","",""
"A Development of Dynamic End-To-End Slicing Network Along with the Offline SLA-Method Integrated with Deep Learning for 5G/6G Networks","2024","10.1109/ISTEMS60181.2024.10560180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197882865&doi=10.1109%2fISTEMS60181.2024.10560180&partnerID=40&md5=f01c9bbc86d63619047ff164684a051b","","979-835038424-6",""
"FeDRL-D2D: Federated Deep Reinforcement Learning-Empowered Resource Allocation Scheme for Energy Efficiency Maximization in D2D-Assisted 6G Networks","2024","10.1109/ACCESS.2024.3434619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200204076&doi=10.1109%2fACCESS.2024.3434619&partnerID=40&md5=21a6ae9394dda2406ddd4d04d825e14c","21693536","",""
"The Role of AI Enablers in Overcoming Impairments in 6G Networks","2024","10.1109/EuCNC/6GSummit60053.2024.10597102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199875040&doi=10.1109%2fEuCNC%2f6GSummit60053.2024.10597102&partnerID=40&md5=0b398ebf39cb5aea76bf34ac82b4f8e8","","979-835034499-8",""
"Hybrid optimization for efficient 6G IoT traffic management and multi-routing strategy","2024","10.1038/s41598-024-81709-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213509382&doi=10.1038%2fs41598-024-81709-z&partnerID=40&md5=859b9bcf72dda30ad76c96981248813b","20452322","",""
"A Tutorial on Fluid Antenna System for 6G Networks: Encompassing Communication Theory, Optimization Methods and Hardware Designs","2024","10.1109/COMST.2024.3498855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209735944&doi=10.1109%2fCOMST.2024.3498855&partnerID=40&md5=5c3d4687d653ee1fced903f7bbd6e891","1553877X","",""
"Deep Reinforcement Learning for Integrated Sensing and Communication in RIS-Assisted 6G V2X System","2024","10.1109/JIOT.2024.3449969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202760261&doi=10.1109%2fJIOT.2024.3449969&partnerID=40&md5=113415d48459ff912b7e2419cca6cce7","23274662","",""
"Deep Reinforcement Learning-Based Computation Offloading for Mobile Edge Computing in 6G","2024","10.1109/TCE.2024.3436824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200239722&doi=10.1109%2fTCE.2024.3436824&partnerID=40&md5=5cade9336e2a32a260298bfb122b94ff","00983063","","ITCED"
"Satellite-Based ITS Data Offloading & Computation in 6G Networks: A Cooperative Multi-Agent Proximal Policy Optimization DRL With Attention Approach","2024","10.1109/TMC.2023.3300314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166772430&doi=10.1109%2fTMC.2023.3300314&partnerID=40&md5=fbf59323130c4d3eacda5ba7ef837df7","15361233","",""
"A Multi-Level Deep RL-Based Network Slicing and Resource Management for O-RAN-Based 6G Cell-Free Networks","2024","10.1109/TVT.2024.3415656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196501905&doi=10.1109%2fTVT.2024.3415656&partnerID=40&md5=aa8a04256872f2e928be12861cc28558","00189545","","ITVTA"
"Deep-Learning-Based Resource Allocation for 6G NOMA-Assisted Backscatter Communications","2024","10.1109/JIOT.2024.3424728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197522790&doi=10.1109%2fJIOT.2024.3424728&partnerID=40&md5=10d48dd67bb00d4ecd7653c9076234a0","23274662","",""
"Knowledge-Collaboration-Based Resource Allocation in 6G IoT: A Graph Attention RL Approach","2024","10.1109/JIOT.2024.3416054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196555022&doi=10.1109%2fJIOT.2024.3416054&partnerID=40&md5=63042177d7d6725c6d7bf3538edc0802","23274662","",""
"Intelligent Hierarchical NOMA-Based Network Slicing in Cell-Free RAN for 6G Systems","2024","10.1109/TWC.2023.3321717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174836348&doi=10.1109%2fTWC.2023.3321717&partnerID=40&md5=0a275c2505252698a0708868c99d2efd","15361276","",""
"Energy-Efficient Resource Allocation in LEO-assisted Open RAN architecture towards 6G","2024","10.1109/BMSB62888.2024.10608373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201548668&doi=10.1109%2fBMSB62888.2024.10608373&partnerID=40&md5=9d830c473e420f619947da28594ff1b1","21555044","979-835036426-2",""
